Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Pollution Index,Climate Index
Austria,192.9,110.0,70.5,77.9,60.7,20.9,77.8
Qatar,193.3,185.7,84.2,73.4,47.5,60.0,36.0
Estonia,185.7,86.0,76.3,75.5,49.4,17.0,64.3
Denmark,209.9,137.3,74.0,78.4,66.9,20.6,82.5
Panama,124.4,47.9,57.3,60.7,43.9,55.6,67.8
Canada,166.4,112.9,54.3,68.7,58.7,29.8,57.8
Russia,116.6,57.6,61.3,61.5,22.3,59.0,47.4
Morocco,110.8,42.6,52.2,46.8,27.2,68.7,85.2
Netherlands,211.3,134.5,73.1,79.3,60.5,21.6,87.2
Slovenia,179.3,86.1,76.2,66.1,46.2,22.2,76.1
Portugal,167.8,61.9,67.9,72.2,41.2,28.8,97.3
Indonesia,102.4,34.7,54.0,60.9,24.6,68.0,63.8
,,,,,,,
,,,,,,,
Iran,85.6,29.1,49.5,52.8,23.6,75.2,71.0
France,166.3,112.8,44.6,77.7,58.0,43.5,90.2
Venezuela,79.7,16.0,19.3,38.7,35.9,75.1,99.9
Argentina,118.0,41.9,36.6,68.0,35.7,50.8,98.3
Philippines,96.9,38.1,56.9,67.3,28.8,72.4,61.2
North Macedonia,120.3,60.7,58.9,55.1,30.3,79.6,76.3
Azerbaijan,113.5,42.4,68.2,48.3,29.5,72.7,91.4
New Zealand,192.5,134.4,51.8,68.4,55.3,26.1,95.5
Germany,190.2,130.7,60.6,71.9,58.4,28.9,82.9
Uruguay,139.8,55.2,48.0,68.6,46.3,43.5,98.0
,,,,,,,
Ukraine,115.0,47.4,53.0,55.9,24.6,62.1,70.7
Nigeria,21.5,11.1,33.4,49.1,26.4,87.9,60.8
Egypt,85.3,21.4,52.7,47.3,19.0,82.7,92.0
Croatia,174.6,80.8,74.5,64.7,43.2,31.2,89.2
Kenya,101.7,35.9,44.0,62.0,28.2,69.0,99.8
Romania,142.2,74.7,67.7,56.5,34.0,58.7,76.2
South Africa,152.4,114.2,25.3,63.8,30.0,56.6,95.3
Latvia,164.7,77.2,62.9,62.4,43.4,30.3,74.7
Costa Rica,129.4,52.3,45.9,64.3,50.1,42.0,99.5
Mexico,126.3,48.3,46.6,72.5,34.5,58.4,85.3
Saudi Arabia,177.0,149.2,76.1,61.8,41.9,62.5,55.3
Lebanon,100.1,36.0,53.2,63.7,38.8,89.4,94.7
Kuwait,160.6,180.3,67.2,58.4,40.4,69.4,20.2
Ecuador,128.5,46.6,37.5,77.1,30.0,59.0,98.7
India,124.0,83.9,55.7,65.5,19.5,72.9,63.3
United Kingdom,174.5,124.0,51.7,72.7,59.2,40.7,87.2
Sri Lanka,81.1,18.5,57.9,71.4,33.5,57.9,59.1
Belarus,127.5,56.1,50.2,48.5,25.0,44.9,64.4
,,,,,,,
Switzerland,205.0,164.8,73.5,71.5,98.4,23.1,79.2
Bulgaria,143.8,76.0,63.9,58.1,35.4,62.8,82.8
Taiwan,160.7,103.5,82.9,86.5,44.4,64.2,84.4
Luxembourg,220.1,184.3,65.8,75.2,64.8,23.3,82.6
,,,,,,,
Cyprus,158.5,83.1,66.9,57.1,49.5,55.3,92.2
Iceland,202.0,127.9,74.3,67.6,83.4,16.0,68.8
Colombia,108.8,36.9,39.1,68.6,26.0,62.5,98.4
Hong Kong (China),134.0,105.5,78.5,66.1,73.6,66.5,83.6
Belgium,169.3,119.1,50.6,75.9,56.5,49.2,86.0
Turkey,131.1,52.6,58.8,71.2,34.7,64.3,93.3
,,,,,,,
Bosnia And Herzegovina,134.8,64.3,58.3,55.6,31.6,59.7,80.5
Slovakia,157.6,75.8,69.0,58.4,42.1,37.1,78.1
Ireland,166.5,113.4,52.4,51.5,59.8,35.0,87.8
Vietnam,95.8,43.4,59.2,61.3,26.6,84.2,71.2
Peru,86.0,39.1,32.9,56.3,29.4,82.4,97.7
Serbia,124.8,59.1,62.8,52.1,35.9,65.8,83.2
Singapore,152.8,98.3,77.4,71.8,79.1,32.6,57.5
Japan,185.2,122.7,77.1,80.0,45.6,38.5,85.3
Malta,132.7,77.8,57.0,52.5,48.0,75.5,97.4
Tunisia,117.3,35.3,54.9,57.2,25.5,70.1,93.2
Lithuania,173.0,81.8,67.6,75.0,44.0,26.3,67.8
China,121.4,80.0,76.0,68.7,30.7,77.3,79.2
Georgia,124.9,40.8,73.7,55.6,30.4,67.8,88.5
Greece,138.1,60.7,53.6,58.5,46.5,49.4,91.8
,,,,,,,
Thailand,106.2,47.2,62.7,77.5,33.7,75.7,69.4
United States,188.8,152.1,50.8,67.8,64.9,36.7,78.5
Finland,203.8,127.6,73.2,77.5,58.7,11.8,58.6
Italy,151.0,87.3,53.1,65.1,51.0,53.5,90.2
Australia,192.2,140.0,52.7,73.4,60.9,26.8,93.8
Brazil,117.9,43.2,35.5,59.1,25.6,52.9,97.4
Spain,184.4,101.4,63.4,77.3,43.5,35.7,93.6
United Arab Emirates,177.0,133.9,84.5,70.6,54.1,48.1,45.8
Jordan,125.0,52.6,60.0,65.2,37.2,77.1,89.0
Albania,104.3,43.7,55.3,48.2,39.9,77.0,86.4
Sweden,193.2,133.8,52.0,68.3,54.2,17.6,76.5
Kazakhstan,106.8,52.3,54.8,60.7,26.6,73.2,39.8
Oman,208.9,153.8,81.7,65.1,39.8,35.6,67.2
Poland,153.9,94.2,71.0,58.0,38.9,55.4,75.9
Chile,107.3,52.2,39.5,63.5,35.1,77.5,90.2
Pakistan,104.2,30.9,56.3,59.3,17.8,73.3,71.9
Czech Republic,174.8,91.1,73.5,75.5,42.6,34.6,80.1
Norway,195.0,122.7,67.0,75.6,69.0,18.3,68.5
Armenia,119.7,38.8,77.9,59.0,39.6,62.3,63.4
Hungary,144.6,72.4,66.3,54.3,36.6,46.5,78.7
Israel,163.6,113.3,68.2,73.2,65.2,56.8,93.8
South Korea,147.7,107.2,75.1,82.8,56.5,60.9,68.4
Bangladesh,73.9,35.9,38.4,42.2,20.9,85.4,71.3
Malaysia,135.8,85.6,51.1,70.3,29.7,61.0,56.6
